num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
27	2023-06-07	00:12:57	63562	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	04:02:11	229.23596666666666	2	{"0":575.491,"1":582.424,"2":591.991,"3":601.938,"4":606.021,"5":608.005,"6":610.088,"7":761.803,"8":762.786,"9":907.178,"10":908.729,"11":909.511,"12":918.446,"13":919.778,"14":922.094,"15":923.744,"16":932.294,"17":2386.613,"18":2388.56,"-1":570.058}	0	1	7678.646	n/a	1	1	I didn't understand exactly what was meant by interacting(when I think of interacting I think of touching). I didn't know if I could or could not use the word that I picked in the explanation.	F	19	true	1440	900
46	2023-06-07	18:04:07	61387	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36	18:23:13	19.10295	1	{"0":39.304,"1":40.372,"2":42.477,"3":48.086,"4":50.219,"5":55.96,"6":58.388,"7":61.308,"8":62.005,"9":63.898,"10":64.879,"11":65.54,"12":79.148,"13":81.186,"14":83.045,"15":84.325,"16":92.821,"17":430.773,"18":433.154}	0	2	1.906,3.498	n/a	1	0	none	M	20	true	1440	709
45	2023-06-07	17:47:47	63404	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15	18:34:53	47.10698333333333	1	{"0":1.307,"1":2.035,"2":2.771,"3":6.187,"4":12.555,"5":18.532,"6":22.741,"7":28.54,"8":29.988,"9":36.956,"10":38.188,"11":39.316,"12":57.565,"13":63.1,"14":75.332,"15":78.22,"16":92.604,"17":629.572,"18":631.868}	0	0		It was very interesting. I enjoyed it. 	1	1	No	F	19	true	2560	1440
48	2023-06-07	21:47:50	53533	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	22:36:26	48.587516666666666	2	{"0":140.593,"1":144.36,"2":146.938,"3":148.563,"4":150.04,"5":152.809,"6":160.33,"7":164.791,"8":166.901,"9":174.731,"10":176.523,"11":177.246,"12":185.889,"13":186.974,"14":187.982,"15":189.608,"16":191.433,"17":585.542,"18":586.842,"-1":137.197}	0	1	101.572	I learned about this experiment in my social psych class! So weird to be a part of it after learning about it	1	1	No	F	22	true	1440	900
49	2023-06-07	18:47:30	63147	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	00:06:29	318.99286666666666	1	{"0":16308.895,"1":16311.19,"2":16322.949,"3":16327.458,"4":16328.868,"5":16339.057,"6":16364.249,"7":16368.279,"8":16369.944,"9":16377.548,"10":16379.645,"11":16380.84,"12":16398.353,"13":16401.333,"14":16408.549,"15":16410.515,"16":16422.603,"17":16806.936,"18":16808.896}	0	0		N/A	1	1	None! It was perfect, I guess I do wonder what you define as "no interaction" versus "interaction" as either way the triangles interacted with each other, just in a "reciprocal" or "non-reciprocal" way 	F	19	true	1440	900
50	2023-06-07	23:44:58	63639	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36	00:23:13	38.2516	1	{"0":2.517,"1":3.476,"2":5.739,"3":34.816,"4":39.271,"5":53.308,"6":63.74,"7":70.157,"8":71.342,"9":76.771,"10":80.452,"11":81.12,"12":91.958,"13":94.433,"14":97.919,"15":100.093,"16":116.267,"17":653.914,"18":809.069}	0	0		n/a	1	1	nothing was unclear, however, i was unsure how detailed to be in my responses.	F	21	true	1440	900
51	2023-06-08	00:26:05	57797	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	00:54:12	28.111366666666665	1	{"0":5.341,"1":10.284,"2":16.296,"3":24.225,"4":33.751,"5":46.122,"6":51.643,"7":65.177,"8":68.92,"9":95.798,"10":192.232,"11":279.033,"12":328.269,"13":333.353,"14":339.129,"15":341.229,"16":363.733,"17":701.256,"18":704.296}	0	0		no	1	1	no	F	21	true	1280	800
52	2023-06-08	01:55:28	57115	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/113.0	02:46:59	51.50285	1	{"0":1.517,"1":2.966,"2":13.834,"3":25.333,"4":30.95,"5":35.532,"6":43.121,"7":47.55,"8":51.064,"9":80.3,"10":81.605,"11":82.781,"12":96.64,"13":99.934,"14":110.6,"15":112.585,"16":124.535,"17":1585.209,"18":1586.651}	0	0		It was fun to watch the animations and use my imagination!	1	1	I was a bit confused as to the vagueness of "socially interacting," since I wasn't sure if socially interacting meant responding to each other, following each other, etc. but maybe that was the point. 	F	21	true	1440	900
54	2023-06-08	04:30:03	63512	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36	05:04:47	34.7276	1	{"0":3.752,"1":8.417,"2":12.463,"3":14.273,"4":17.192,"5":28.232,"6":38.862,"7":48.438,"8":50.535,"9":59.04,"10":61.362,"11":62.557,"12":74.179,"13":76.028,"14":80.761,"15":83.603,"16":92.882,"17":511.367,"18":513.021}	0	0		No. 	1	1	I was unsure if we were supposed to use all of the words. Sometimes I would second guess myself if I had already used a word before. 	F	20	true	1792	1120
56	2023-06-08	06:13:37	57827	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	06:32:53	19.26615	1	{"0":1.487,"1":3.307,"2":5.397,"3":8.72,"4":10.059,"5":14.096,"6":16.859,"7":24.577,"8":26.799,"9":31.301,"10":32.919,"11":33.84,"12":49.28,"13":52.137,"14":56.655,"15":58.46,"16":69.218,"17":385.308,"18":387.386}	0	0		No	1	1	No	F	21	true	1440	900
58	2023-06-08	06:45:25	63632	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36	07:03:00	17.592666666666666	2	{"0":52.698,"1":54.242,"2":54.744,"3":55.771,"4":56.478,"5":56.89,"6":57.523,"7":57.915,"8":58.397,"9":58.887,"10":59.313,"11":59.741,"12":67.339,"13":67.876,"14":68.306,"15":68.748,"16":71.369,"17":406.07,"18":407.45,"-1":50.787}	0	0		N/A	1	1	N/A	F	21	true	1745	982
59	2023-06-08	06:39:24	62790	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36	07:12:03	32.64693333333334	1	{"0":2.195,"1":277.911,"2":370.304,"3":373.186,"4":375.96,"5":394.61,"6":421.184,"7":433.021,"8":439.524,"9":454.418,"10":467.568,"11":468.456,"12":488.093,"13":490.884,"14":517.247,"15":520.443,"16":532.511,"17":960.842,"18":965.104}	0	0		no	1	1	no	F	19	true	1707	960
57	2023-06-08	06:15:21	63528	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15	07:34:58	79.62445	1	{"0":1.434,"1":2.309,"2":3.202,"3":4.768,"4":5.784,"5":6.359,"6":7.443,"7":1344.713,"8":1345.473,"9":1346.267,"10":1350.074,"11":1351.074,"12":1359.616,"13":1363.298,"14":1367.883,"15":1370.336,"16":1376.707,"17":2542.233,"18":2543.233}	0	1	346.822	No	1	1	I continuously second guessed myself throughout the experiment but that might just be a personal problem 	M	19	true	1512	945
60	2023-06-08	08:10:25	63567	Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36	09:52:40	102.2558	1	{"0":3.354,"1":5.148,"2":6.947,"3":12.33,"4":16.267,"5":22.268,"6":30.776,"7":36.641,"8":38.574,"9":79.004,"10":80.312,"11":80.967,"12":96.113,"13":100.939,"14":185.504,"15":187.825,"16":196.814,"17":2162.839,"18":2164.372}	0	0		no	1	1	No<br />	M	20	true	1707	960
62	2023-06-08	15:19:53	61003	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36	15:42:36	22.716083333333334	1	{"0":1.617,"1":2.406,"2":3.118,"3":4.565,"4":6.062,"5":6.934,"6":8.535,"7":9.344,"8":11.797,"9":15.82,"10":17.328,"11":18.15,"12":28.119,"13":30.268,"14":31.075,"15":32.539,"16":34.671,"17":357.393,"18":359.281}	0	0		Some of the short animations look the same to me	1	1	No.	F	22	true	1368	912
64	2023-06-08	18:35:26	63510	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36	18:59:13	23.776483333333335	1	{"0":2.927,"1":6.359,"2":8.611,"3":14.432,"4":17.647,"5":21.285,"6":26.417,"7":29.88,"8":33.496,"9":39.168,"10":41.196,"11":42.703,"12":56.341,"13":59.779,"14":63.387,"15":65.111,"16":79.746,"17":415.204,"18":416.814}	0	0		n/a	1	1	n/a	F	18	true	1440	900
