num	date	startTime	id	userAgent	endTime	duration	quizAttemptN	instrReadingTimes	quickReadingPageN	hiddenCount	hiddenDurations	comments	serious	maximized	problems	gender	age	inView	viewportW	viewportH
1	2022-11-08	23:03:16	60460	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15	23:33:42	30.4264	1	{"0":14.352,"1":18.336,"2":22.052,"3":39.587,"4":44.823,"5":51.952,"6":56.36,"7":60.149,"8":62.919,"9":64.83,"10":66.572,"11":117.847,"12":121.193,"13":124.861,"14":126.771,"15":135.443,"16":135.443}	0	0		No	1	1	No, everything was clear and I completed the task without problems.	F	18	true	1470	920
2	2022-11-08	23:19:27	57817	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	23:53:25	33.9729	1	{"0":1,"1":2.953,"2":3.988,"3":7.774,"4":37.29,"5":54.96,"6":56.76,"7":58.857,"8":59.608,"9":60.618,"10":61.515,"11":176.576,"12":178.328,"13":179.83,"14":180.897,"15":188.035,"16":188.035}	0	5	74.207,0.435,0.438,0.316,0.243	N/A	1	1	N/A	F	20	true	1440	900
4	2022-11-09	01:09:29	55251	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	01:35:02	25.541	1	{"0":3.295,"1":5.194,"2":7.968,"3":14.802,"4":20.642,"5":24.361,"6":30.35,"7":33.245,"8":34.835,"9":38.442,"10":39.812,"11":82.603,"12":85.784,"13":90.107,"14":92.219,"15":98.932,"16":98.932}	0	0		No!	1	1	No!	F	21	true	1440	900
5	2022-11-09	01:48:29	60466	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36	02:33:54	45.42075	1	{"0":1.35,"1":22.138,"2":26.377,"3":99.179,"4":101.824,"5":109.235,"6":114.771,"7":118.517,"8":121.873,"9":124.579,"10":125.914,"11":163.045,"12":165.708,"13":174.943,"14":177.372,"15":183.281,"16":183.281}	0	0		no	0	1	no	F	18	true	1440	900
6	2022-11-09	02:33:08	56744	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	02:58:15	25.110133333333334	1	{"0":2.318,"1":4.851,"2":9.533,"3":11.1,"4":12.52,"5":14.802,"6":19.584,"7":22.25,"8":26.017,"9":28.399,"10":29.166,"11":74.99,"12":78.251,"13":82.85,"14":86.3,"15":92.351,"16":92.351}	0	0		no	1	1	I was confused during the trial but after that I understood for the actual experiment.	F	21	true	1440	900
7	2022-11-09	04:37:15	57719	Mozilla/5.0 (X11; CrOS x86_64 15054.114.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	05:04:07	26.853783333333332	1	{"0":2.595,"1":10.939,"2":14.498,"3":20.6,"4":26.567,"5":32.355,"6":38.76,"7":43.656,"8":47.519,"9":51.048,"10":52.473,"11":93.644,"12":97.657,"13":101.231,"14":105.255,"15":113.424,"16":113.424}	0	0		No	1	1	No	F	21	true	1536	864
8	2022-11-09	04:58:04	60326	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15	05:32:38	34.557516666666665	1	{"0":1.29,"1":2.476,"2":4.765,"3":24.918,"4":39.946,"5":46.278,"6":64.311,"7":65.67,"8":66.713,"9":67.553,"10":68.192,"11":110.181,"12":113.735,"13":116.339,"14":118.788,"15":127.697,"16":127.697}	0	0		no	1	1	No everything was clear	F	18	true	1298	718
10	2022-11-09	05:36:45	61215	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	06:09:17	32.535583333333335	1	{"0":5.95,"1":11.553,"2":16.072,"3":22.346,"4":35.295,"5":51.566,"6":59.861,"7":63.236,"8":68.155,"9":70.679,"10":72.921,"11":111.015,"12":114.569,"13":120.19,"14":122.021,"15":128.817,"16":128.817}	0	0		No	1	1	No	F	20	true	1440	900
12	2022-11-09	06:45:23	60265	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15	07:16:38	31.239966666666668	1	{"0":2.786,"1":5.934,"2":9.4,"3":10.867,"4":13.084,"5":16.486,"6":20.935,"7":23.667,"8":25.054,"9":26.534,"10":27.334,"11":68.137,"12":70.267,"13":73.601,"14":75.167,"15":79.135,"16":79.135}	0	1	7.874	no	0	1	NO	F	19	true	1440	900
16	2022-11-09	07:43:26	60439	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	08:22:29	39.05081666666667	1	{"0":1.686,"1":3.119,"2":25.688,"3":29.872,"4":34.172,"5":38.639,"6":44.956,"7":48.39,"8":49.89,"9":52.228,"10":53.223,"11":109.015,"12":111.944,"13":116.513,"14":118.149,"15":126.015,"16":126.015}	0	0		No.	1	1	No all good	F	18	true	1440	900
17	2022-11-09	08:06:21	60822	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	09:25:25	79.05886666666666	1	{"0":3.881,"1":5.058,"2":5.684,"3":13.313,"4":29.704,"5":38.352,"6":41.419,"7":54.021,"8":56.626,"9":59.857,"10":61.176,"11":108.575,"12":115.207,"13":120.233,"14":124.068,"15":137.341,"16":137.341}	0	1	1676.549	no	1	1	was strange at first 	F	23	true	1440	900
19	2022-11-09	09:18:43	60502	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15	09:49:30	30.7802	1	{"0":1.878,"1":4.407,"2":6.925,"3":10.618,"4":13.798,"5":21.717,"6":31.341,"7":34.354,"8":35.435,"9":38.076,"10":39.002,"11":82.455,"12":85.175,"13":88.079,"14":90.315,"15":97.176,"16":97.176}	0	0		n/a	1	1	it was very clear	F	19	true	1440	900
21	2022-11-09	10:29:26	58069	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	10:54:05	24.652833333333334	1	{"0":2.616,"1":3.252,"2":3.972,"3":4.904,"4":5.82,"5":10.466,"6":21.812,"7":25.196,"8":27.296,"9":30.366,"10":31.47,"11":67.233,"12":69.932,"13":73.018,"14":74.969,"15":81.806,"16":81.806}	0	0		No	1	1	No	F	19	true	1536	864
22	2022-11-09	15:55:31	58529	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	16:31:23	35.86601666666667	1	{"0":3.635,"1":5.266,"2":6.689,"3":12.396,"4":22.53,"5":142.421,"6":205.898,"7":236.105,"8":239.213,"9":242.532,"10":244.55,"11":287.71,"12":292.301,"13":298.902,"14":301.055,"15":311.891,"16":311.891}	0	0		No	1	1	No everything was clear. But it was hard to distinguish an odd animations. they all looked very similar to me. 	F	41	true	1440	900
26	2022-11-09	17:53:04	61252	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	18:15:58	22.900533333333332	1	{"0":2.145,"1":4.678,"2":8.531,"3":11.424,"4":24.809,"5":30.158,"6":38.358,"7":40.279,"8":41.187,"9":42.577,"10":43.444,"11":90.03,"12":94.04,"13":96.844,"14":98.242,"15":106.053,"16":106.053}	0	0		no	1	0	no	F	19	true	1440	732
31	2022-11-09	18:30:51	60894	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	18:59:03	28.2086	1	{"0":3.397,"1":10.466,"2":14.829,"3":20.423,"4":35.63,"5":43.113,"6":50.475,"7":54.386,"8":59.035,"9":69.055,"10":72.793,"11":106.768,"12":110.888,"13":115.272,"14":118.144,"15":124.835,"16":124.835}	0	0		n/a	1	1	n/a	M	19	true	1500	1000
29	2022-11-09	18:22:13	60449	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36	19:01:05	38.87275	1	{"0":1.252,"1":3.251,"2":5.384,"3":9.967,"4":12.484,"5":20.171,"6":24.717,"7":26.917,"8":28.8,"9":30.367,"10":31.167,"11":71.453,"12":73.216,"13":76.332,"14":77.283,"15":81.418,"16":81.418}	0	0		no	1	1	no	O	19	true	1440	900
33	2022-11-09	18:52:27	60257	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	19:24:44	32.27535	1	{"0":2.105,"1":3.42,"2":5.987,"3":14.988,"4":17.92,"5":34.821,"6":43.387,"7":50.888,"8":55.105,"9":58.555,"10":60.121,"11":92.025,"12":95.589,"13":101.488,"14":104.254,"15":112.556,"16":112.556}	0	0		no	1	1	No everything ran smoothly. 	M	19	true	1440	900
34	2022-11-09	19:16:17	60262	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15	19:43:39	27.3689	1	{"0":5.481,"1":11.331,"2":19.372,"3":29.254,"4":37.172,"5":49.639,"6":58.676,"7":64.451,"8":68.815,"9":72.787,"10":75.513,"11":108.22,"12":113.044,"13":118.615,"14":121.793,"15":134.003,"16":134.003}	0	0		No.	1	1	I thought all of the directions were concise and easy to follow. 	F	18	true	1440	900
36	2022-11-09	20:16:55	57656	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36	20:56:33	39.62093333333333	1	{"0":2.612,"1":6.056,"2":11.308,"3":15.736,"4":20.641,"5":29.924,"6":36.021,"7":38.822,"8":43.73,"9":45.777,"10":47.032,"11":97.099,"12":99.645,"13":103.751,"14":105.421,"15":112.146,"16":112.146}	0	0		No.	1	1	No.	F	21	true	1440	900
18	2022-11-09	08:16:59	60311	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36	21:16:04	779.0708166666667	1	{"0":45172.826,"1":45178.085,"2":45183.913,"3":45191.186,"4":45201,"5":45208.581,"6":45221.574,"7":45225.661,"8":45230.063,"9":45232.991,"10":45234.239,"11":45274.022,"12":45277.624,"13":45281.681,"14":45284.602,"15":45296.513,"16":45296.513}	0	0		N/A	1	1	No, instructions were clear 	F	18	true	1440	900
